GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
0100000US,,United States,0100000US,,United States,United States,308745538(r38234),131704730(r15031),3796742.23,264836.79,3531905.43,87.4,37.3
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,258317763,107498517,982121.76,69129.68,912992.08,282.9,117.7
0100000US,,United States,310M100US10180,10180,"United States - In metropolitan statistical area - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,69721,2757.71,14.23,2743.48,60.2,25.4
0100000US,,United States,310M100US10420,10420,"United States - In metropolitan statistical area - Akron, OH Metro Area","Akron, OH Metro Area",703200,312581,924.12,23.99,900.13,781.2,347.3
0100000US,,United States,310M100US10500,10500,"United States - In metropolitan statistical area - Albany, GA Metro Area","Albany, GA Metro Area",157308,66060,1957.96,25.41,1932.56,81.4,34.2
0100000US,,United States,310M100US10580,10580,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,393297,2878.22,66.66,2811.55,309.7,139.9
0100000US,,United States,310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,374404,9297.16,14.66,9282.50,95.6,40.3
0100000US,,United States,310M100US10780,10780,"United States - In metropolitan statistical area - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,64570,2026.31,65.32,1960.99,78.5,32.9
0100000US,,United States,310M100US10900,10900,"United States - In metropolitan statistical area - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,342200,1475.88,22.66,1453.22,565.1,235.5
0100000US,,United States,310M100US11020,11020,"United States - In metropolitan statistical area - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,56276,527.07,1.27,525.80,241.7,107.0
0100000US,,United States,310M100US11100,11100,"United States - In metropolitan statistical area - Amarillo, TX Metro Area","Amarillo, TX Metro Area",249881,102546,3682.35,33.11,3649.24,68.5,28.1
0100000US,,United States,310M100US11180,11180,"United States - In metropolitan statistical area - Ames, IA Metro Area","Ames, IA Metro Area",89542,36789,573.65,0.83,572.82,156.3,64.2
0100000US,,United States,310M100US11260,11260,"United States - In metropolitan statistical area - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,154361,27218.61,906.03,26312.58,14.5,5.9
0100000US,,United States,310M100US11300,11300,"United States - In metropolitan statistical area - Anderson, IN Metro Area","Anderson, IN Metro Area",131636,59068,452.90,0.99,451.92,291.3,130.7
0100000US,,United States,310M100US11340,11340,"United States - In metropolitan statistical area - Anderson, SC Metro Area","Anderson, SC Metro Area",187126,84774,757.44,42.01,715.43,261.6,118.5
0100000US,,United States,310M100US11460,11460,"United States - In metropolitan statistical area - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,147573,722.42,16.45,705.97,488.4,209.0
0100000US,,United States,310M100US11500,11500,"United States - In metropolitan statistical area - Anniston-Oxford, AL Metro Area","Anniston-Oxford, AL Metro Area",118572,53289,612.29,6.42,605.87,195.7,88.0
0100000US,,United States,310M100US11540,11540,"United States - In metropolitan statistical area - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,92844,1041.67,85.91,955.76,236.1,97.1
0100000US,,United States,310M100US11700,11700,"United States - In metropolitan statistical area - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,213637,2041.43,8.43,2033.00,209.0,105.1
0100000US,,United States,310M100US12020,12020,"United States - In metropolitan statistical area - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",192541,81719,1035.03,10.22,1024.81,187.9,79.7
0100000US,,United States,310M100US12060,12060,"United States - In metropolitan statistical area - Atlanta-Sandy Springs-Marietta, GA Metro Area","Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,2165495,8481.03,142.49,8338.54,631.9,259.7
0100000US,,United States,310M100US12100,12100,"United States - In metropolitan statistical area - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274549,126647,671.83,116.12,555.70,494.1,227.9
0100000US,,United States,310M100US12220,12220,"United States - In metropolitan statistical area - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140247,62391,615.85,8.31,607.54,230.8,102.7
0100000US,,United States,310M100US12260,12260,"United States - In metropolitan statistical area - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",556877,236949,3324.86,54.58,3270.28,170.3,72.5
0100000US,,United States,310M100US12420,12420,"United States - In metropolitan statistical area - Austin-Round Rock-San Marcos, TX Metro Area","Austin-Round Rock-San Marcos, TX Metro Area",1716289,706505,4280.08,60.19,4219.89,406.7,167.4
0100000US,,United States,310M100US12540,12540,"United States - In metropolitan statistical area - Bakersfield-Delano, CA Metro Area","Bakersfield-Delano, CA Metro Area",839631,284367,8162.64,30.72,8131.92,103.3,35.0
0100000US,,United States,310M100US12580,12580,"United States - In metropolitan statistical area - Baltimore-Towson, MD Metro Area","Baltimore-Towson, MD Metro Area",2710489,1132251,3105.02,503.54,2601.48,1041.9,435.2
0100000US,,United States,310M100US12620,12620,"United States - In metropolitan statistical area - Bangor, ME Metro Area","Bangor, ME Metro Area",153923,73860,3557.08,159.72,3397.36,45.3,21.7
0100000US,,United States,310M100US12700,12700,"United States - In metropolitan statistical area - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",215888,160281,1305.54,911.81,393.72,548.3,407.1
0100000US,,United States,310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",802484,329729,4214.53,187.61,4026.92,199.3,81.9
0100000US,,United States,310M100US12980,12980,"United States - In metropolitan statistical area - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",136146,61042,718.35,12.12,706.23,192.8,86.4
0100000US,,United States,310M100US13020,13020,"United States - In metropolitan statistical area - Bay City, MI Metro Area","Bay City, MI Metro Area",107771,48220,630.72,188.41,442.30,243.7,109.0
0100000US,,United States,310M100US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",388745,162334,2389.73,289.20,2100.53,185.1,77.3
0100000US,,United States,310M100US13380,13380,"United States - In metropolitan statistical area - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,90665,2503.47,396.61,2106.86,95.5,43.0
0100000US,,United States,310M100US13460,13460,"United States - In metropolitan statistical area - Bend, OR Metro Area","Bend, OR Metro Area",157733,80139,3054.77,36.58,3018.19,52.3,26.6
0100000US,,United States,310M100US13740,13740,"United States - In metropolitan statistical area - Billings, MT Metro Area","Billings, MT Metro Area",158050,70384,4711.19,29.11,4682.08,33.8,15.0
0100000US,,United States,310M100US13780,13780,"United States - In metropolitan statistical area - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,112766,1238.39,14.03,1224.37,205.6,92.1
0100000US,,United States,310M100US13820,13820,"United States - In metropolitan statistical area - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,500025,5369.77,90.26,5279.51,213.7,94.7
0100000US,,United States,310M100US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND Metro Area","Bismarck, ND Metro Area",108779,47833,3613.74,54.82,3558.92,30.6,13.4
0100000US,,United States,310M100US13980,13980,"United States - In metropolitan statistical area - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",162958,70550,1089.49,16.96,1072.52,151.9,65.8
0100000US,,United States,310M100US14020,14020,"United States - In metropolitan statistical area - Bloomington, IN Metro Area","Bloomington, IN Metro Area",192714,84409,1345.06,22.77,1322.29,145.7,63.8
