Country,Railway,Tram & Metro,Bus & Coach,Cars
BE,11,1.2,22.2,109.6
BG,1.7,0.7,11.5,54
CZ,7.6,9.6,16.7,66.3
DK,6.8,0.3,6.6,53.7
DE,89.5,16.8,63.2,920.8
EE,0.3,0.2,2.4,11.9
IE,1.7,0.2,10.2,47.2
EL,1.1,1.7,21,96.9
ES,25.1,7.1,39.5,319.7
FR,86.7,16.2,53.4,815.7
HR,0.9,0.6,3.6,26.1
IT,50,6.8,102.8,642.9
CY,-,-,1.3,6.1
LV,0.6,0.1,2.3,12.6
LT,0.3,-,3,24.3
LU,0.4,-,1,7.1
HU,7.7,2.8,17.6,52.7
MT,-,-,0.5,2.4
NL,16.2,1.4,11.5,145
AT,12,7,10.1,76.6
PL,15.9,4.2,39.2,218.9
PT,3.9,1,5.6,83.3
RO,5,8,14.1,85.2
SI,0.6,-,3.4,25.6
SK,2.6,0.3,5.4,27.3
FI,3.9,0.5,7.5,65.5
SE,12.1,2.4,8.7,114.9
UK,64.7,12.5,41.1,654.2
